instance_type,n,seed,algorithm,bins,lower_bound,ratio,time_ms,capacity,item_range
hard_150,60,0,FFD,27,27,1.0,0.1179,150,20-100
hard_150,60,0,BFD,27,27,1.0,0.1325,150,20-100
hard_150,60,0,CAD,27,27,1.0,0.604,150,20-100
hard_150,60,1,FFD,25,25,1.0,0.1332,150,20-100
hard_150,60,1,BFD,25,25,1.0,0.1212,150,20-100
hard_150,60,1,CAD,25,25,1.0,0.756,150,20-100
hard_150,60,2,FFD,25,25,1.0,0.0884,150,20-100
hard_150,60,2,BFD,25,25,1.0,0.1088,150,20-100
hard_150,60,2,CAD,25,25,1.0,0.774,150,20-100
hard_150,60,3,FFD,26,26,1.0,0.0959,150,20-100
hard_150,60,3,BFD,26,26,1.0,0.1373,150,20-100
hard_150,60,3,CAD,26,26,1.0,1.0382,150,20-100
hard_150,60,4,FFD,25,24,1.041667,0.0591,150,20-100
hard_150,60,4,BFD,25,24,1.041667,0.0654,150,20-100
hard_150,60,4,CAD,25,24,1.041667,0.5064,150,20-100
hard_150,60,5,FFD,25,24,1.041667,0.0965,150,20-100
hard_150,60,5,BFD,25,24,1.041667,0.1007,150,20-100
hard_150,60,5,CAD,25,24,1.041667,0.8735,150,20-100
hard_150,60,6,FFD,25,24,1.041667,0.094,150,20-100
hard_150,60,6,BFD,25,24,1.041667,0.1244,150,20-100
hard_150,60,6,CAD,25,24,1.041667,0.7016,150,20-100
hard_150,60,7,FFD,23,23,1.0,0.056,150,20-100
hard_150,60,7,BFD,23,23,1.0,0.0589,150,20-100
hard_150,60,7,CAD,23,23,1.0,0.8079,150,20-100
hard_150,60,8,FFD,22,22,1.0,0.1009,150,20-100
hard_150,60,8,BFD,22,22,1.0,0.1042,150,20-100
hard_150,60,8,CAD,22,22,1.0,0.6059,150,20-100
hard_150,60,9,FFD,25,24,1.041667,0.0581,150,20-100
hard_150,60,9,BFD,25,24,1.041667,0.066,150,20-100
hard_150,60,9,CAD,24,24,1.0,0.5858,150,20-100
hard_150,60,10,FFD,25,25,1.0,0.0593,150,20-100
hard_150,60,10,BFD,25,25,1.0,0.0664,150,20-100
hard_150,60,10,CAD,25,25,1.0,0.4443,150,20-100
hard_150,60,11,FFD,25,25,1.0,0.1226,150,20-100
hard_150,60,11,BFD,25,25,1.0,0.1418,150,20-100
hard_150,60,11,CAD,25,25,1.0,0.6081,150,20-100
hard_150,60,12,FFD,25,24,1.041667,0.1023,150,20-100
hard_150,60,12,BFD,25,24,1.041667,0.0964,150,20-100
hard_150,60,12,CAD,24,24,1.0,0.7556,150,20-100
hard_150,60,13,FFD,26,25,1.04,0.0737,150,20-100
hard_150,60,13,BFD,26,25,1.04,0.0722,150,20-100
hard_150,60,13,CAD,26,25,1.04,0.7192,150,20-100
hard_150,60,14,FFD,28,27,1.037037,0.0568,150,20-100
hard_150,60,14,BFD,28,27,1.037037,0.0779,150,20-100
hard_150,60,14,CAD,27,27,1.0,0.7138,150,20-100
hard_150,60,15,FFD,26,25,1.04,0.0609,150,20-100
hard_150,60,15,BFD,26,25,1.04,0.0751,150,20-100
hard_150,60,15,CAD,26,25,1.04,0.6022,150,20-100
hard_150,60,16,FFD,23,23,1.0,0.1073,150,20-100
hard_150,60,16,BFD,23,23,1.0,0.126,150,20-100
hard_150,60,16,CAD,23,23,1.0,1.0926,150,20-100
hard_150,60,17,FFD,25,24,1.041667,0.1145,150,20-100
hard_150,60,17,BFD,25,24,1.041667,0.1308,150,20-100
hard_150,60,17,CAD,25,24,1.041667,0.8649,150,20-100
hard_150,60,18,FFD,28,27,1.037037,0.1099,150,20-100
hard_150,60,18,BFD,28,27,1.037037,0.1485,150,20-100
hard_150,60,18,CAD,27,27,1.0,0.4506,150,20-100
hard_150,60,19,FFD,25,25,1.0,0.0589,150,20-100
hard_150,60,19,BFD,25,25,1.0,0.066,150,20-100
hard_150,60,19,CAD,25,25,1.0,0.4628,150,20-100
